State,District,health_score,education_score,economic_score,infrastructure_score,social_score,dmi_equal_weights,rank_equal_weights,dmi_poverty_first,rank_poverty_first,dmi_human_development,rank_human_development
TAMIL NADU,Karur,0.4856051872787274,0.37603954661696154,0.1245228684345284,0.12445488720352134,0.3482450228593286,70.82264975213866,535.0,75.00391560324078,412.0,64.9888173008011,560.0
TAMIL NADU,Krishnagiri,0.4856051872787274,0.37603954661696154,0.20459150984886343,0.18134016507423417,0.34386941477358207,68.17108352815262,745.0,71.01352489989287,732.0,63.24081294130768,724.0
TAMIL NADU,Madurai,0.4856051872787274,0.37603954661696154,0.2995869834334517,0.3341741547501177,0.3482450228593286,63.12698210122826,916.0,64.85556199008491,924.0,60.26566290035129,857.0
TAMIL NADU,Nagapattinam,0.4856051872787274,0.37603954661696154,0.1669913389769137,0.17025631392013366,0.34386941477358207,69.14476396867364,672.0,72.68378950208239,611.0,63.915654015927934,662.0
TAMIL NADU,Namakkal,0.4856051872787274,0.37603954661696154,0.20296122527616375,0.19670324214615037,0.3482450228593286,67.80891551645337,769.0,70.78265600543592,750.0,63.089758398750284,739.0
TAMIL NADU,Perambalur,0.4856051872787274,0.37603954661696154,0.08114749006032447,0.061665556117166856,0.34386941477358207,73.03345610306475,312.0,77.74640482579045,202.0,66.28921932770643,415.0
TAMIL NADU,Pudukkottai,0.4856051872787274,0.37603954661696154,0.1877270896514075,0.15575600446684157,0.34386941477358207,69.0200551442496,686.0,72.071864116902,664.0,63.74962085034345,676.0
TAMIL NADU,Ramanathapuram,0.4856051872787274,0.37603954661696154,0.1294170214831899,0.1317169601311978,0.34386941477358207,70.66703739432683,551.0,74.76485250866538,432.0,64.86466231622315,572.0
TAMIL NADU,Salem,0.4856051872787274,0.37603954661696154,0.37324196105347773,0.36163285367149783,0.3482450228593286,61.104708570400135,944.0,61.49748240146315,947.0,58.886251246837105,893.0
TAMIL NADU,Sivaganga,0.4856051872787274,0.37603954661696154,0.14880441901837502,0.14151106116452078,0.34386941477358207,70.08340742295667,603.0,73.84244509175812,512.0,64.47591034286214,605.0
TAMIL NADU,Thanjavur,0.4856051872787274,0.37603954661696154,0.21399661223641425,0.2547541131680371,0.3482450228593286,66.42719035681061,844.0,69.47047746169761,812.0,62.34371888412766,779.0
TAMIL NADU,The Nilgiris,0.4856051872787274,0.37603954661696154,0.07079149192793752,0.08367723373099391,0.3482450228593286,72.71283035172102,343.0,77.76483546559231,200.0,66.20256448312524,423.0
TAMIL NADU,Theni,0.4856051872787274,0.37603954661696154,0.13271844216046294,0.13809252301329003,0.3482450228593286,70.38598556142459,577.0,74.47152811705686,448.0,64.7295073368144,585.0
TAMIL NADU,Thiruvallur,0.4856051872787274,0.37603954661696154,0.3034317088373858,0.38744370513318693,0.3482450228593286,61.984696585488194,933.0,63.9027297181815,931.0,59.675296515461596,877.0
TAMIL NADU,Thiruvarur,0.4856051872787274,0.37603954661696154,0.12327707897015627,0.13498791987155506,0.34386941477358207,70.72441704978036,547.0,74.96138581308136,417.0,64.92405185651509,570.0
TAMIL NADU,Thoothukkudi,0.4856051872787274,0.37603954661696154,0.16462383369452116,0.2006551897556058,0.3482450228593286,68.49662439589711,730.0,72.25687245455981,650.0,63.62529979638036,688.0
TAMIL NADU,Tiruchirappalli,0.4856051872787274,0.37603954661696154,0.272264834014433,0.2890890106249794,0.3482450228593286,64.5751279721114,893.0,66.62472512872273,897.0,61.12634658288796,829.0
TAMIL NADU,Tirunelveli,0.4856051872787274,0.37603954661696154,0.3142257682856201,0.3446237996613457,0.3482450228593286,62.62521350596033,923.0,64.11326592232975,929.0,59.94158467845649,869.0
TAMIL NADU,Tiruppur,0.4856051872787274,0.37603954661696154,0.24092605817230828,0.289497125415644,0.3482450228593286,65.19374119314061,877.0,67.87215444054775,865.0,61.59234707261319,811.0
TAMIL NADU,Tiruvannamalai,0.4856051872787274,0.37603954661696154,0.2819454944607467,0.2411290909013954,0.34386941477358207,65.42822531937173,872.0,67.02253162801013,885.0,61.48261391385783,814.0
TAMIL NADU,Vellore,0.4856051872787274,0.37603954661696154,0.33727416147183814,0.38310572942489013,0.3533400556907222,61.2927063903372,942.0,62.537675755956954,940.0,59.18556431887081,885.0
TAMIL NADU,Viluppuram,0.4856051872787274,0.37603954661696154,0.4105524134880748,0.3190443120700533,0.34386941477358207,61.29778251545201,941.0,60.709526549387135,950.0,58.774357916761325,896.0
TAMIL NADU,Virudhunagar,0.4856051872787274,0.37603954661696154,0.19041029326618963,0.22687952746923107,0.3482450228593286,67.45640845019123,790.0,70.83204900598868,744.0,62.9762595256691,745.0
TRIPURA,Dhalai,0.4856051872787274,0.37603954661696154,0.03986543318391395,0.02651168578728455,0.34386941477358207,74.56217464719062,192.0,79.9249951557951,99.0,67.25998888415143,316.0
TRIPURA,North Tripura,0.4856051872787274,0.37603954661696154,0.05162566569254224,0.054195211421790276,0.34386941477358207,73.77329948432794,245.0,79.03933297093239,136.0,66.80675014017694,365.0
TRIPURA,South Tripura,0.4856051872787274,0.37603954661696154,0.08754634909260994,0.07450937873941563,0.34386941477358207,72.64860246997407,349.0,77.2977931251653,242.0,66.06479821599966,443.0
TRIPURA,West Tripura,0.4856051872787274,0.37603954661696154,0.14377044590982013,0.1503839409959028,0.3482450228593286,69.9191171267852,615.0,73.84507669734339,511.0,64.44081310074792,609.0
Telangana,Adilabad,0.44201130945781125,0.21556886227544914,0.18346382051426458,0.1267295709033216,0.2727272727272727,75.18998328243762,139.0,76.8058919489716,271.0,71.60180460895234,82.0
Telangana,Bhadradri Kothagudem,0.6201494252873563,0.29740518962075846,0.18346382051426458,0.1267295709033216,0.3953488372093023,67.53806312929993,784.0,71.06695183411833,729.0,61.88959127542228,800.0
Telangana,Hyderabad,0.527853872494325,0.4152514164305948,0.18346382051426458,0.1267295709033216,0.32951653944020354,68.34369560434581,736.0,71.67117619040275,692.0,61.324479173679606,821.0
Telangana,Jagitial,0.5571970247809249,0.16167664670658677,0.18346382051426458,0.1267295709033216,0.3712871287128713,71.99291616764062,412.0,74.40809161287385,460.0,68.96373283762554,188.0
Telangana,Jangoan,0.5395494137353434,0.1830708661417323,0.18346382051426458,0.1267295709033216,0.3636363636363636,72.07099930137949,402.0,74.466653963178,449.0,68.87085536937334,191.0
Telangana,Jayashankar Bhupalapally,0.5366119828815978,0.14746923244011156,0.18346382051426458,0.1267295709033216,0.40574282147315854,71.9996514357509,410.0,74.41314306395658,458.0,70.0091903396272,140.0
Telangana,Jogulamba Gadwal,0.44168276783618343,0.14746923244011156,0.18346382051426458,0.1267295709033216,0.3121387283236995,75.77031759964838,84.0,77.24114268687967,245.0,73.79973333196399,47.0
Telangana,Kamareddy,0.5263129016549728,0.16141732283464566,0.18346382051426458,0.1267295709033216,0.37203495630461914,72.60082855576353,358.0,74.86402590396604,424.0,70.05001434459308,136.0
Telangana,Karimnagar,0.5236884261113337,0.3228346456692913,0.18346382051426458,0.1267295709033216,0.3918032786885246,69.02960516226528,684.0,72.18560835884236,658.0,64.39342307748832,614.0
Telangana,Khammam,0.5293316205085579,0.279441117764471,0.18346382051426458,0.1267295709033216,0.4418604651162791,68.7834681038621,705.0,72.00100556503997,670.0,65.46439881811541,504.0
Telangana,Komaram Bheem Asifabad,0.4794156356936036,0.16666666666666674,0.18346382051426458,0.1267295709033216,0.2710843373493976,75.45279937745491,109.0,77.00300402023458,261.0,72.01244471389636,72.0
Telangana,Mahabubabad,0.5694829434157519,0.27604166666666663,0.18346382051426458,0.1267295709033216,0.3436426116838488,70.01278773632293,611.0,72.9229952893856,595.0,64.66917257194893,593.0
Telangana,Mahabubnagar,0.5310523117155774,0.30381944444444453,0.18346382051426458,0.1267295709033216,0.3048128342245989,71.00244036395587,513.0,73.66523476011028,527.0,65.23617134652905,524.0
Telangana,Mancherial,0.5884128502696782,0.31692913385826776,0.18346382051426458,0.1267295709033216,0.3118556701030928,69.4521790870275,641.0,72.50253880241402,623.0,62.73449918825924,758.0
Telangana,Medak,0.5149568369342301,0.27083333333333337,0.18346382051426458,0.1267295709033216,0.39072847682119194,70.26575922987317,592.0,73.11272390954827,576.0,66.52444863978214,396.0
Telangana,Medchal-Malkajgiri,0.5348985480447337,0.4152514164305948,0.18346382051426458,0.1267295709033216,0.417910447761194,66.43492392691782,843.0,70.23959743233176,784.0,60.635945987810345,849.0
Telangana,Nagarkurnool,0.5231265822784811,0.26041666666666674,0.18346382051426458,0.1267295709033216,0.31182795698924726,71.88870805296037,423.0,74.32993552686366,469.0,66.9975934852264,346.0
Telangana,Nalgonda,0.5078988457034518,0.23952095808383234,0.18346382051426458,0.1267295709033216,0.3227513227513228,72.39270964087613,375.0,74.7079367178005,436.0,68.20729723694126,224.0
Telangana,Nirmal,0.579603164310725,0.2263779527559055,0.18346382051426458,0.1267295709033216,0.3241695303550973,71.19311922321371,494.0,73.80824390455368,516.0,66.15056023414526,431.0
Telangana,Nizamabad,0.4917641399564535,0.35039370078740156,0.18346382051426458,0.1267295709033216,0.3439490445859873,70.07399446505143,604.0,72.96890033593196,587.0,64.78547733428795,580.0
Telangana,Peddapalli,0.49622235625251304,0.2694610778443113,0.18346382051426458,0.1267295709033216,0.3459335624284078,71.56379224114363,447.0,74.0862486680011,486.0,67.45215897772192,301.0
Telangana,Rajanna Sircilla,0.6211283880171183,0.17913385826771652,0.18346382051426458,0.1267295709033216,0.3206521739130435,71.3778437676907,472.0,73.94678731291143,503.0,66.36830749371838,408.0
Telangana,Ranga Reddy,0.5338847117794487,0.41516966067864247,0.18346382051426458,0.1267295709033216,0.4186125211505922,66.4427942994746,842.0,70.24550021174934,783.0,60.670781341466665,847.0
Telangana,Sangareddy,0.526482353536888,0.37326388888888895,0.18346382051426458,0.1267295709033216,0.3264604810996563,69.27199770113961,661.0,72.3674027629981,635.0,62.85732609285234,750.0
Telangana,Siddipet,0.5753299832495812,0.28937007874015747,0.18346382051426458,0.1267295709033216,0.35074626865671643,69.48720555871918,639.0,72.52880865618276,621.0,63.962513470328375,657.0
Telangana,Suryapet,0.5480186335403727,0.3346456692913386,0.18346382051426458,0.1267295709033216,0.4275362318840581,67.5921214773329,782.0,71.10749559514305,726.0,62.94981522472263,746.0
Telangana,Vikarabad,0.4813147372247413,0.14746923244011156,0.18346382051426458,0.1267295709033216,0.3267326732673267,74.68579931300468,180.0,76.42775397189689,302.0,72.33964467864634,68.0
Telangana,Wanaparthy,0.5302385892116183,0.17361111111111116,0.18346382051426458,0.1267295709033216,0.28392554991539765,74.04062716688573,226.0,75.9438748623077,344.0,69.92637972238029,147.0
Telangana,Warangal Rural,0.5217146314061014,0.3125000000000001,0.18346382051426458,0.1267295709033216,0.42356687898089185,68.6405019639084,717.0,71.8937809600747,677.0,64.66540048913481,594.0
Telangana,Warangal Urban,0.5251256642694423,0.4152514164305948,0.18346382051426458,0.1267295709033216,0.4117647058823529,66.75329644000047,822.0,70.47837681714375,768.0,61.00872562933976,837.0
Telangana,Yadadri Bhuvanagiri,0.5832518079284923,0.4152514164305948,0.18346382051426458,0.1267295709033216,0.38815566835871407,66.06295431729225,855.0,69.96062022511258,792.0,59.092355788891204,886.0
Tripura,Dhalai,0.4183092953033387,0.234251968503937,0.18346382051426458,0.1267295709033216,0.3712871287128713,73.31916432124534,289.0,75.4027777280774,382.0,71.2846671064338,98.0
Tripura,Gomati,0.4010049280123683,0.4152514164305948,0.18346382051426458,0.1267295709033216,0.348,70.51100528278901,568.0,73.29665844923515,562.0,65.6717749277491,486.0
Tripura,Khowai,0.3906392879916425,0.4152514164305948,0.18346382051426458,0.1267295709033216,0.36627906976744184,70.35273668785469,582.0,73.1779570030344,570.0,65.9431769796373,451.0
Tripura,North Tripura,0.41356321839080457,0.4152514164305948,0.18346382051426458,0.1267295709033216,0.42654028436018954,68.6890337880165,712.0,71.93017982815576,674.0,64.8395333427029,574.0
Tripura,Sepahijala,0.4286161242475222,0.3464566929133859,0.18346382051426458,0.1267295709033216,0.45652173913043476,69.16424104582141,669.0,72.28658527150945,644.0,66.57058968696886,390.0
Tripura,South Tripura,0.39321091644204853,0.4152514164305948,0.18346382051426458,0.1267295709033216,0.3756613756613757,70.11365800096789,602.0,72.9986479878693,584.0,65.80625845440342,474.0
Tripura,Unakoti,0.33398652666881146,0.4152514164305948,0.18346382051426458,0.1267295709033216,0.3492063492063492,71.82724632553317,428.0,74.28383923129327,472.0,68.01138722874185,239.0
Tripura,West Tripura,0.5842455829082576,0.4152514164305948,0.18346382051426458,0.1267295709033216,0.4245524296675192,65.31514359152084,875.0,69.39976218078402,815.0,58.87558985805539,894.0
UTTAR PRADESH,Agra,0.4856051872787274,0.35128711714786187,0.27430320405471637,0.24385178626229437,0.3533400556907222,65.83225299131355,861.0,67.51660964211726,876.0,62.38900314317208,776.0
UTTAR PRADESH,Aligarh,0.4856051872787274,0.2791080508945511,0.24028978464742726,0.21245193561738024,0.34386941477358207,68.77351253576664,706.0,70.57288978563929,765.0,65.78682346418212,477.0
UTTAR PRADESH,Allahabad,0.4856051872787274,0.44526492130042045,0.4544308832577506,0.22276586889137484,0.3482450228593286,60.87376232824796,947.0,59.29454966474221,959.0,56.63419914765318,939.0
UTTAR PRADESH,Ambedkar Nagar,0.4856051872787274,0.37603954661696154,0.19283279660992186,0.08072022319290321,0.34386941477358207,70.41865663055808,575.0,72.9931725576705,585.0,64.42339305870512,612.0
UTTAR PRADESH,Auraiya,0.4856051872787274,0.37603954661696154,0.11955606765159632,0.07772055809969654,0.34386941477358207,71.94418451158873,417.0,75.96923669240164,341.0,65.55254064401205,497.0
UTTAR PRADESH,Azamgarh,0.4856051872787274,0.37603954661696154,0.33648647506325313,0.1186818173784038,0.3482450228593286,66.6988390160665,825.0,66.61196738546855,898.0,61.867093899621416,801.0
UTTAR PRADESH,Baghpat,0.4856051872787274,0.3246458923512747,0.08827483649396711,0.07988967344776612,0.34386941477358207,73.55429991309366,261.0,77.95885402247106,189.0,67.79884585719485,264.0
UTTAR PRADESH,Bahraich,0.4856051872787274,0.19082863382919474,0.32455581227207764,0.09926293672115827,0.34386941477358207,71.1175603025052,501.0,70.22427492007697,786.0,68.74450263606207,198.0
UTTAR PRADESH,Ballia,0.4856051872787274,0.35637393767705383,0.21493784897397816,0.12926621078672107,0.34386941477358207,69.39894801019875,650.0,71.6757647832996,690.0,64.29465371020287,628.0
